No,Story_Point,In_Progress_Minutes,Resolution_Time_Minutes,Total_Effort_Minutes
820,8,14343,351298,14343
821,8,12673,12739,12673
822,8,27130,323711,27130
823,8,1481,8659,1481
824,8,8,12946,8
825,8,1632,5897,1632
826,8,2930,3110,2930
827,8,1106,41603,1106
828,8,16,6002,16
829,8,4264,23869,4264
830,8,87,10436,87
831,8,4458,7511,4458
832,8,3008,3010,3008
833,8,1728,317077,1728
834,8,38799,46074,38799
835,8,10197,16016,10197
836,8,60,9958,60
837,8,1285,123893,1285
838,8,53382,163991,53382
839,8,826,1260,826
840,8,1147,957346,1147
841,8,12782,959928,12782
842,10,10759,13471,10759
843,13,21760,54725,21760
844,13,14523,90706,14523
845,13,18989,177077,18989
846,13,20302,20396,20302
847,13,5883,14482,5883
848,13,4266,8673,4266
849,13,9812,133255,9812
850,13,24519,25954,24519
851,13,17530,19063,17530
852,13,25616,446043,25616
853,13,14377,314754,14377
854,13,8789,11773,8789
855,16,5513,18929,5513
856,16,26671,754414,26671
857,16,8632,11529,8632
858,16,21516,453225,21516
